S.No,Title,Address,Category,Contact No,District,Area
1234,Nafees rent a car services,"Hamza CNG pump, Block 9 pia society gate number 3 Nearest", Car rental agency,      0300 3975697,East,Johar
1235,Classic Mechanical & Denting Works,7+ years in business  Jinnah Ave Shah Faisal Town,   Auto repair shop,,East,Faisal Cantonment
1236,Naheed Autoworks,Rukunuddin St, Auto repair shop, 0340 2052267,Central,Nazimabad
1237,Naizi Wheel Alignment and Balancing Tyre Shop,Service Rd, Wheel alignment service,0300 2199778,East,Gulshan
1238,Najah Car Rental & Adventures,"shop#18, sumaira pride", Car rental agency,      0332 3513472,East,Johar
1239,Najam Car Wash,Manakji St,Chauffeur service,,East,Gulshan
1240,Naseer Auto Workshop,"7+ years in business  Sarwar Rd, Block 7, Gulistan-e-Johar", Mechanic,,East,Johar
1241,Nasir Autos,10+ years in business  University Rd, Auto machine shop, 0304 5611119,East,Johar
1242,Cool & Cool Car AC Service,Street No. 6,      Car repair and maintenance,0300 3454368,East,Gulzar E Hijri
1243,Nasir Motors,, Auto parts store, (021) 32726676,Central,Nazimabad
1244,Crown Lifan warranty claim shop,W384+2RF,   Auto parts store,,Central,Gulberg
1245,Crystal Car Detailing,,Car detailing service, 0335 2023247,East,Gulzar E Hijri
1246,National Insurance Company Limited,"Main Korangi Rd, Karachi Cantonment Karachi, Karachi City, Sindh", Insurance company,,South,Karachi Cantonment
1247,NATS Associates & Rent A Car,"Disco Bakery, A-, 495 Allama Shabbir Ahmed Usmani Rd", Car rental agency, (021) 34831581,East,Gulshan
1248,Nats Rent a Car,W4J2+972, Car rental agency, 0300 2813283,East,Johar
1249,Naveed Autos - Bike Mechanic,"A59, H#", Motorcycle repair shop, 0321 2152185,East,Gulshan
1250,Navitronix Pvt Ltd,"705-706, Ceasars Tower", Car security system installer,      (021) 32802612,,
1251,Crystal Nano Coating,A-32,   Car detailing service, 0305 2503140,East,Johar
1252,Nawab & Sons,5+ years in business  EBM Causeway, Car repair and maintenance,,East,Johar
1253,Nawab's Trading Tires & Rims,, Shopping mall, 0333 2465599,East,Gulshan
1254,Nazimabad Autos,W26F+FFH, Store,,Central,Nazimabad
1255,Nazimabad Honda,"1-J8/B Muslim League Quarter, Main Road Nazimabad No 1", Honda dealer, (021) 36603336,Central,Nazimabad
1256,Nazimabad Motors,W28M+2M5, Car repair and maintenance,,Central,Nazimabad
1257,Nazimabad Petrol Pump Bus Stop,"Rabia Manzil, Al Hayee Terrace No.", Bus stop,,Central,Nazimabad
1258,NB Autos,"street # 13-L, raw-2 , scheme, 24, Block 5 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300", Car repair and maintenance, 0323 2101325,East,Gulshan
1259,Nehal Auto's (Saleem Ustad Shop),"Plot H, 1/4C", Mechanic,,Central,Nazimabad
1260,New Akbar Motors,"5+ years in business  210-B,Block-10, Rashid Minhas Road , Gulshan-e-Iqbal, Karachi، Rashid Minhas Rd Service Ln", Car repair and maintenance, 0335 1220225,East,Gulshan
1261,New Al Tawakkal Oil Traders,W3HF+4P2, Auto parts store,,East,Gulshan
1262,New Allies Battery (Mr. Imtiaz),Hassan Centre, Car battery store, 0341 2767902,East,Gulshan
1263,New Asif Tyres,"Noman Arcade Shop 16/17 , Block 14 Gulshan E Iqbal , Opposite To National Stadium, near Mashriq Cente", Tire shop, 0302 8950805,East,Johar
1264,New Auto Inn,Plot FL 15/2A, Auto electrical service,,East,Gulshan
1265,Danish Autos Suzuki bike service tuning,"Shop No 2, Sadat-e-Amroha Society, Super Link Rd", Motorcycle repair shop,,East,Gulzar E Hijri
1266,New Car Care (service & repair),Sector 7-D/ 1 Shahrah Noor Jahan, Car accessories store, 0333 3049943,Central,Nazimabad
1267,New Defence Motors,, Car rental agency, 0321 2229996,Central,Nazimabad
1268,Danish Car Seat Cover & Decoration,,Car detailing service,,East,Gulzar E Hijri
1269,New Gulshan Tyre Centre,"FL/2, Noman Centre, Shop#1, Rashid Minhas Rd", Tire shop, 0300 9260977,East,Johar
1270,Daniyal Engineering Works,5+ years in business  Shop #R-14 Sector 15B Bufferzone,   Mechanic, 0300 2761044,Central,Nazimabad
1271,DATA Automotive,"Shop#6, 4-C, Street#2, Badar Commercial Area, Karachi", Auto parts store, 0331 2467838,East,Gulzar E Hijri
1272,New Jubilee Insurance - Head Quarters,"I.I Chundrigar Rd, City Railway Colony, Karachi, Karachi City, Sindh", Insurance company, (021) 111 654 111,South,
1273,New Khaleel Autos,3+ years in business  W3G9+4WX, Mechanic,,Central,Gulberg
1274,New Modern Autos,W2GF+6HW, Motor scooter repair shop,,East,Johar
1275,New Moon Star Autos,W3PM+CWH, Auto parts store,,Central,Gulberg
1276,New Ozair Autos,"Maymar Drive, Rashid Minhas Rd", Auto parts store, 0304 1239755,East,Johar
1277,New Quetta Battery,"shop G1, Sun view tower, main University Rd, near Johar Complex", Auto repair shop, 0332 3568895,East,Johar
1278,New Quetta Battery Centre & Spare Parts,"Johar Complex, University Rd, Zohra Nagar, KDA Scheme 33", Auto parts store,,East,Johar
1279,Data Rent A Car,Korangi 6,   Car rental agency,,East,Gulshan
1280,New Siddiqui Rent a car,Godhra Rd, Car rental agency, 0311 2220727,East,Gulshan
1281,New Subhan Tyre Shop,Shahrah-Sher Shah Suri Service Rd N, Tire shop,0311 1827244,East,Gulshan
1282,Defence view car works,,      Mechanic,,East,Gulzar E Hijri
1283,New Super Autos & Sajid Mechanical works,"74700, Yasin Malik Rd", Auto parts store, 0307 2225667,Central,Nazimabad
1284,New Wheel Master,, Wheel store,,East,Johar
1285,New Wheels ALIGNMENT,W354+RHC, Wheel alignment service, 0300 2032747,Central,Nazimabad
1286,NewlifeCars,"Office no: A-15, Descon Plaza Building, Nursery، Shahrah-e-Faisal ",Car dealer, (021) 34395504,East,Gulshan
1287,Nexen Tire Company Outlet,"C7C Building, 6 Khayaban-e-Saadi", Corporate office, 0315 7929955,East,Johar
1288,NEXEN TIRE SHOP (Tyre),R25Q+558, Tire shop, 0300 3373310,East,Gulshan
1289,NIAZ OIL TRADING COMPANY,near Masjid-e-Bilal Banaras Bus Stop, Oil change service, 0345 1991730,Central,Nazimabad
1290,Niazi Autoshop,5+ years in business  W3QH+PV2, Auto repair shop,,Central,Gulberg
1291,Detail Max,"Plot A, 65 Shahrah-e-Qaideen",   Car wash,,East,Johar
1292,Nizam Autos,W3PG+75P, Motorcycle parts store,,Central,Gulberg
1293,Noman Car Wash,B-10 University Rd, Car wash, 0322 3557623,East,Johar
1294,Noman Transports - Transportation service in Karachi,"Westland Trade Center, Shaheed-e-Millat Rd", Car rental agency,      0323 2205069,Central,Nazimabad
1295,Noor autos,"Saleem Plaza, Shop# 95 Block # 16, near Bait-Ul-Mukarram Road", Mechanic, 0312 2530431,East,Gulshan
1296,Detailing Factory,"Gharibabad Furniture Market, Street 1, Bantwa nagar ",Car detailing service, 0316 6392220,East,Gulzar E Hijri
1297,Noor rent a car,W352+P32, Car rental agency,      0340 2004980,Central,Gulberg
1298,NOOR TYRE AND RIM,Telephone Exchange Rd, Tire shop, 0311 2662083,East,Johar
1299,Noorani autos car Ac renta car service,Orangi Rd, Car rental agency,0316 1109802,Central,Nazimabad
1300,Noorani CAR A/C,"A1 Terrace, Shop#A2، University Rd, behind Al-Mustafa Hospital", Car repair and maintenance,0332 3597047,East,Gulshan
1301,Noory Tyre Centre,V5FW+J2Q, Tire shop,,East,Johar
1302,Norani Autos,Shop # 53 block E police line hedary,      Motorcycle repair shop, 0341 2634952,Central,Nazimabad
1303,Nori Autos,3.2, Auto parts store, 0334 2087539,East,Faisal Cantonment
1304,North City Motors & Airport Service,D-36 Street No 1, Car rental agency,(021) 36705177,Central,Nazimabad
1305,North City Motors & Rent A Car,D-36 Street No 1, Car rental agency,      (021) 36705177,East,Gulshan
1306,Nova Car Care Center,"Plot # C41, near Allah Wala town  In Nova Motors", Auto bodywork mechanic, (021) 35158852,Central,Nazimabad
1307,Nova Motors,10+ years in business  C-41 Sector 31/A Korangi Industrial Area Near, Car repair and maintenance, 0300 8237677,Central,Nazimabad
1308,O.s autos parts,"Plot R 790, Block, 14", Mechanic,,Central,Gulberg
1309,OkayKer,"Plot # 178/A, First Floor, Najeeb Complex", Auto repair shop, 0310 4446529,East,Johar
1310,Oliaa Rent a Car,      0310 4427768, Car rental agency,,East,Johar
1311,OLX Karachi Office,"Block 6, PECHS", Corporate office,,Central,Nazimabad
1312,One Star Oil Change,Karachi, Oil change service, 0311 3311125,East,Faisal Cantonment
1313,One Star Oil Change and Work Shop,"Shahrah-e-Faisal, Shah Faisal Colony", Oil change service, 0302 2161979,East,Faisal Cantonment
1314,Online Battery hub,Hussainabad Food St, Electronics store, 0335 1329975,Central,Gulberg
1315,Online Lubricants & Tyres,R2VC+X77, Auto repair shop,,East,Johar
1316,dhoobi car wash,Al-Amna Ave,Gas station,,East,Gulzar E Hijri
1317,Dildar Rent A Car,"Lakhani Plaza, no 01",   Car rental agency,0331 2318286,East,Johar
1318,OVERHAUL INN AUTO WORK SHOP,2 Munawar Chowrangi Rd, Auto repair shop, 0334 3431167,East,Johar
1319,Discovery tyres,X56C+QC7, Tire shop,,East,Gulzar E Hijri
1320,DRIV U RENT- A CAR,Billy's shopping galaria & residency,   Car rental agency, 0321 2718488,East,Johar
1321,P. I. B. Car Wash & Lubricants,Jail Rd, Car wash,,East,Johar
1322,PACE TRANSPORT COMPANY,"B-301, 1", Car rental agency,      0345 0111190,Central,Nazimabad
1323,Pak Auto Electrician Workshop,3, Auto electrical service,      0332 2385422,East,Faisal Cantonment
1324,Pak Autos,"5+ years in business  E38, Khurram Arcade, 2 Allama Shabbir Ahmed Usmani Rd", Car repair and maintenance, 0300 9212561,East,Gulshan
1325,Pak Bats Accessories,"Shop # A 63, Lakhani Shopping Mall", Motorcycle parts store, 0300 8221810,East,Johar
1326,Pak Car Wash Intelligence Colony,R2V6+4WM ,Car wash, 0312 2555635,East,Gulshan
1327,Pak China Tyre,VX7P+5WQ, Tire shop,,East,Johar
1328,Pak Forces Tyre Dealer,Mauripur Rd, Tire shop, 0335 9266668,East,Johar
1329,Pak Qatar Takaful Head Office Karachi,"Plot 27 A Block, Business Arcade, Suite # 402-404, 6 Shahrah-e-Faisal, Karachi, 75350", Insurance company, 0333 8299441,,
1330,pak rent a car karachi,Din Mohammed rafai Rd, Car rental agency,      0345 2103333,East,Johar
1331,Pak Suzuki Booking & Facilitation Centre,"TR Suzuki, Tariq Rd  In Allibhai Centre", Car factory, (021) 35166647,Central,Nazimabad
1332,Pak Tyre World,, Tire shop, (021) 34855662,East,Johar
1333,PakAutoSource,"Shop 5 memon cottages, opposite sheikh zayed", Car dealer, 0345 2241114,East,Johar
1334,Pakistan Auto all brand of Efi car,Azeempura Rd, Auto machine shop,0333 2228021,East,Faisal Cantonment
1335,Pakistan Auto Detailing,3+ years in business  Lahore, Car detailing service, 0321 4808502,East,Johar
1336,Pakistan Autos And Spare Parts,3+ years in business  Karachi, Motorcycle repair shop,  0321 2035105,East,Faisal Cantonment
1337,Pakistan AutoTechnics,"Plot no, 63A Technics Rd", Auto repair shop, 0345 8099995,East,Gulshan
1338,Pakistan Car,Hashim Raza Rd, Car rental agency, (021) 34500264,East,Johar
1339,Pakistan Car Rental Service's & Property advisers,"Plot No, MC 1200", Car leasing service, 0324 2094497,Central,Gulberg
1340,Pakistan car rental&tourism services (Nationwide),Jauhar Chowrangi Road, Car rental agency,      0300 3668896,East,Johar
1341,Pakistan Post,, Post office, (021) 36607829,Central,Nazimabad
1342,Pakistan Rubber & Tyre Co,79-C, Tire shop, (021) 35804647,East,Johar
1343,PAKISTAN TYRE IMPORTERS DEALERS ASSOCIATION,"Rimpa Plaza, 7/12, M.A Jinnah Rd",      Importer,(021) 32729129,Central,Gulberg
1344,Pakson Car Rental Service,"Saddam Chowck Kemari Town, near Gulzar-e-Madina Mosque", Car rental agency,      0321 2909308,East,Gulshan
1345,PAKSON SEA FOOD / PAKSON CAR RENTAL SERVICE,"Gulzar-e-Madina Mosque, near Saddam Chowk",      Costume rental service,      0321 2909308,Central,Gulberg
1346,Pap Auto Parts,X37M+8FG, Auto parts store,0302 0223237,Central,Gulberg
1347,Drive Pro Transport & Rent A Car,Shop # G-17 Rajput Shopping Mall,   Car rental agency, 0332 3965355,Central,Nazimabad
1348,Pappu parado rent a car,X388+VW7, Car rental agency,0302 2149080,Central,Gulberg
1349,Paradis Rent A Car,"Shop # B-13, Sector 14-B, K.D.A. Flats Phase IV, Main Road Shadman Town # 2, North, Shahrah-Sher Shah Suri Service Rd N", Car leasing service,Open ⋅ Closes 12AM  0308 2953829,Central,Nazimabad
1350,Paradise Rent A Car,Plot ST 21/1 Shadman Town No-2, Car dealer,      0308 2953829,Central,Nazimabad
1351,Parking,W4H6+XM3  In SSGC Karachi Terminal,      Parking lot,    ,East,Gulshan
1352,PARTS NATION HYBRID,"5 SHOP, Street Number 1", Auto parts store, 0341 6882695,East,Johar
1353,Pasha Motors,A 290 ,Car dealer, 0334 0031938,East,Gulshan
1354,Pasha Transport & Rent A Car,B61, Car rental agency,      0316 2923345,East,Gulshan
1355,Peer Buksh Tyre shop,Pehlwan Goth Rd, Tyre manufacturer, 0303 3129770,East,Johar
1356,Pervez Auto Mechanic,3+ years in business  near Bukhari Road, Auto electrical service,,East,Johar
1357,Perwan Motors,"75300, Rashid Minhas Rd, Block 2 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300", Auto repair shop,,East,Gulshan
1358,PIA Flight Operations Office,In Jinnah International Airport, Airline,,,
1359,PitCar.Pk,"B 32 Block, 4A ",Car detailing service, 0300 0748827,East,Gulshan
1360,Popular Autos,W3PG+849, Motorcycle parts store,,Central,Gulberg
1361,"Postal Training Center, Karachi",V23V+369, Corporate office,,,
1362,Power Plug (Maintain-Repair-Modify),R-329, Car repair and maintenance, 0333 1268218,Central,Gulberg
1363,Premier Insurance,"State Life Building No. 2A, 5th Floor, Wallace Rd, City Railway Colony, Karachi, Karachi City, Sindh 74400", Insurance agency, (021) 32416331,South,
1364,Premier Tracking Solutions (PTSL),Mumtaz Hasan Rd, Car security system installer,      (021) 38797875,,
1365,Prime Tip Top Tyre Repairing Centre,Badar Chowk Rd, Tire shop, 0314 2223216,Central,Nazimabad
1366,Prince autos,"31, Block, Plot ST, 7", Car repair and maintenance,,Central,Gulberg
1367,Prince Tyre Shop,"MA Jinnah Rd, Saddar Town", Wheel store,,East,Johar
1368,Private car service,Al hilal society askri park Askari amusement park, Car rental agency,      0324 2347288,Central,Gulberg
1369,Professional Rent a Car,"D/ 259 No-, Metroville", Car rental agency,      0320 4444465,East,Gulshan
1370,Protek 3M car detailing,Lahore, Car detailing service, 0301 9444477,Central,Gulberg
1371,PSO - Al-Hamd Enterprises,"SA-1, (ST-13), Sector 15-A/4, Bufferzone", Gas station,      (021) 36950185,Central,Gulberg
1372,DS Car Detailing,W428+3WW,   Auto restoration service,0315 8070239,East,Johar
1373,PSO Car Wash and Tyre Shop,260 Shahrah-e-Jahangir  In PSO Petrol Pump, Car wash,,East,Johar
1374,PSO Car Wash Service,Plot E 113,Car wash,,East,Gulshan
1375,PSO Petrol Pump,Rashid Minhas Rd ,Gas station, 0800 030 00,East,Gulshan
1376,PSO Shahid Bhai Car wash,"10+ years in business  Lilly Bridge, Rd", Car wash, 0305 2783723,East,Johar
1377,Dua Autos,Bombia Heights,   Auto repair shop, 0300 2680914,East,Johar
1378,Puncture Shop,Imran Khan Ave, Tire shop,,Central,Gulberg
1379,Dua Car Wash,Plot no # 1712 ,Car wash, 0313 3532133,East,Gulzar E Hijri
1380,"Punjwani Oil, Spare Part And Detailing Center","Plot No, A119, near mukka chowk", Auto repair shop, 0321 9226158,Central,Gulberg
1381,Dunlop tyres,Abul Hasan Isphahani Rd,   Tire shop,,East,Johar
1382,Qadri Auto Mechanical Workshop," W33M+4QV, Block 16 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh", Car inspection station,(021) 34987744,East,Gulshan
1383,Qamar mechanic makkah autos,Cantonment Graveyard Rd, Car repair and maintenance, 0307 3967901,East,Johar
1384,Qasim Automobile Workshop,"Mughals @ 3A/22, Corniche Comforts, Service Lane, Jauhar Chowrangi Road", Mechanic,0316 6033684,East,Johar
1385,Qasim autos and Car A/C,Khushal Rd, Mechanic, 0313 2242886,East,Faisal Cantonment
1386,Qatar Airways & Cargo قطر ائرویز کارگو,V5X6+X6F, Airline,    ,,
1387,Qazi Madni Autos,3+ years in business  W4CQ+WVG, Mechanic, 0305 2303127,East,Johar
1388,Qazi Rent A Car,"Plot C, 314, near Jamia Rasheed", Car rental agency,      0321 2987319,East,Gulshan
1389,Quality Autos,, Auto parts store, 0333 3735128,Central,Gulberg
1390,Quality Rent A Car,"Rabia Palace, A-64", Corporate office,  0348 3743688,East,Gulshan
1391,Quetta pakistan oil change & car wash,"Easy city quaideazam park, near admore pump",Automobile storage facility,  0321 3405805,East,Gulshan
1392,Quick Car Wash,3+ years in business  Lahore, Car wash,,East,Johar
1393,Quick Clean Car wash,"Gulshan Masjid, Back side of Dacca Sweets In street of", Car wash, 0313 2212580,East,Johar
1394,Quick Cool Car AC,"3+ years in business  SB 1, Sindh", Mechanic,0333 3685843,Central,Nazimabad
1395,Quick Cool Centre,3+ years in business  W3W2+W98, Auto repair shop,0333 3685843,Central,Nazimabad
1396,QURESHI AUTOS (Whole saller),New Rd Service Ln, Auto parts store, 0316 6362016,East,Johar
1397,R.Z Autos,W4M3+JC8, Auto electrical service,,East,Johar
1398,RAB Rent A Car,W3QG+5MF, Car leasing service,      (021) 36348090,East,Johar
1399,RAB RENT A CAR & TRANSPORT SERVICE,Service Rd, Transportation service,      0321 9090723,Central,Nazimabad
1400,Raees Tyre Corporation,VX7P+CQV, Tire shop,Open ⋅ Closes 5AM Fri  0301 8200003,East,Gulshan
1401,Easy Car Booking Service Gulshan e Maymaar,1st Ln,   Car rental agency,0310 3133669,East,Gulshan
1402,Eijaz and Munawar Motorcycle and Car workshop,"Plot 44 A, Block, 1, Block 1 Shah Faisal Colony 1 Shah Faisal Colony, Karachi, Karachi City, Sindh 75230",   Auto repair shop,,East,Faisal Cantonment
1403,Raheel Battery Center & Auto's,Plot LS B, Battery store, 0341 0322544,East,Gulshan
1404,Raheel Denter and Fabrication,Plot 19, Motorcycle repair shop,,Central,Gulberg
1405,Rainbow Paint Booth & Services,"5+ years in business  Plot No: S-1, Mujahid Colony, Opp N.H.S Gate، 2 National Stadium Rd", Car repair and maintenance, 0333 0205786,East,Gulshan
1406,Raj Auto,"3+ years in business  Shop No. 47-48, Police Welfare Market, Block-E, North Nazimabad, Karachi.، Burhani Rd", Auto repair shop, 0313 2041336,Central,Nazimabad
1407,Ejaz Autos,"15+ years in business  Plot 16, Block, 14",   Mechanic, 0302 2935418,Central,Nazimabad
1408,Raja autos workshop,Cantt Bazar Rd, Auto repair shop,0317 2089675,East,Faisal Cantonment
1409,Raja Tire Shop,Plot R 1723, Tire shop,Open ⋅ Closes 11:30PM,East,Johar
1410,Raja Tyre Corporation,Block 4 Gulshan-e-Iqbal Karachi Karachi City Sindh, Tire shop, 0331 2031439,East,Johar
1411,ejaz radiator and lubricant,Abul Hasan Isphahani Rd,      Auto repair shop,,East,Gulzar E Hijri
1412,Ramoo mechanic,W29R+3XP, Mechanic,      0342 2404601,Central,Nazimabad
1413,RANA'S CAR WASH & OIL CHANGE,"Hascol Petrol Pump baghpatee, near Askari Advanture Park  In Hascol ",Car wash, 0316 8034056,East,Gulshan
1414,Rao G Service Station,V26C+6PJ ,Car wash, 0333 2442441,East,Gulshan
1415,Rapid Clean,"Office # A-411 , 4th floor , Co-operative Market ",Commercial cleaning service, 0313 0000521,East,Gulshan
1416,Rasheed Autos,, Mechanic,,Central,Nazimabad
1417,Rashid Auto's,DT 53, Mechanic,,Central,Nazimabad
1418,Rashid Autos Car Clinic,"Sehba Akhter Rd, Block 13D-2 Block 13 D 2 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh", Mechanic, 0333 3008801,East,Gulshan
1419,Rashid Car Rental,W4CM+5Q6, Car rental agency,      0312 8536223,East,Johar
1420,Rasputin Bikes,"Block 17, Jauhar Chowrangi Rd", Used bicycle shop,    ,East,Johar
1421,Rauf Auto Workshop,3+ years in business  X3C7+P6M, Mechanic, 0321 2037403,Central,Gulberg
1422,Electogic Electric Automation,3+ years in business  B-10 University Rd,   Auto electrical service,,East,Gulshan
1423,Raza Khan Tours,"Office #101, 1st Floor, KMC Building, New, M.A Jinnah Rd", Car rental agency, 0333 9205895,East,Johar
1424,Emarat oil,3+ years in business  Karachi - Hyderabad Motorway, Oil change service,0333 4307125,East,Gulzar E Hijri
1425,Ever Ready Batteries,"Shop # 3 - First Commercial Building , Main Commercial Road, Baloch Colony Rd, opposite Habib Bank", Car battery store, 0330 2569999,East,Gulzar E Hijri
1426,Reda Tyre Shop,total pump، University Road, Used tire shop, 0313 8941447,East,Johar
1427,Reflection - High End Detailing,"3+ years in business  Plot# 33-34, Sector 16, Next to DFSK Prince Showroom، Main Korangi Rd, near Shan Roundabout", Car detailing service, 0311 1145222,East,Johar
1428,Rehan,W352+G9H, Car rental,0345 3016435,East,Johar
1429,Expeditors,"23-C , 37th Commercial street Tauheed Commercial",   Freight forwarding service,(021) 35374410,,
1430,Rehan Rent a Car,Sir Shah Muhammad Suleman Road, Car rental agency,      0310 9933007,East,Johar
1431,Express Wash,W6X7+9VJ,   Car wash,,East,Johar
1432,Rehman Autos & Spare Parts,, Motorcycle repair shop,,Central,Nazimabad
1433,Fahad Autos,Shahrah-e-Faisal Shah Faisal Colony,   Auto parts store,0300 2165350,East,Faisal Cantonment
1434,Rehmat car ac & auto workshop,"Khayaban-e-Roomi, Punjab Colony", Auto repair shop, 0344 2030638,East,Faisal Cantonment
1435,Rehmat Denter,Plot B 144B, Car repair and maintenance, 0345 2173960,Central,Nazimabad
1436,Rehmat rent a car,Street Number 6, Car rental agency,      0312 1224763,East,Gulshan
1437,Reliance Insurance Ltd,"Sindhi Muslim Cooperative Housing Society, Karachi, Sindh", Insurance agency, (021) 34539415,East,
1438,Reliance Roadside Assistance And Rescue Services RRR,7+ years in business  257 Jamali Colony 13-D/2 Gulshan-E-Iqbal, Chauffeur service, 0321 2286280,East,Gulshan
1439,Faheem autos,10+ years in business  Bilawal Shah Noorani Goth, Mechanic, 0345 3180085,East,Gulzar E Hijri
1440,Fair Deal,W4H8+P78,   Car leasing service, 0332 8281141,East,Johar
1441,Rent A Car,W4CQ+M42, Car rental agency,,East,Johar
1442,Faisal Autos & Oil Depo,Pehlwan Goth Rd,   Motorcycle repair shop,0306 3122074,East,Faisal Cantonment
1443,Rent a Car ARK,A-178, Car leasing service,0322 2261702,East,Gulshan
1444,Rent A Car DHA,4th St E, Corporate office,      0331 2342334,East,Gulshan
1445,Rent a car in Karachi ( macro car rentals),"Mall Square Parking Lot, main Zamzama Boulevard", Car rental agency,      0321 2267890,East,Gulshan
1446,Faisal axial Wala,"Shah Appartments, Dr Daud Pota Rd",   Auto repair shop,,East,Faisal Cantonment
1447,Fancy Car Mart,W3WV+6C4, Car repair and maintenance,,East,Gulzar E Hijri
1448,Rent a car luxury Karachi,V5WH+CQV, Car rental agency,      0324 3290964,East,Johar
1449,Rent a car P.k,"CM 24 Bostan e Rafi, Jamia Millia Rd", Car rental agency,      0333 3126512,East,Johar
1450,Rent a car pak,"Shop no g55 jinnah plaza, M.A Jinnah Rd, opposite nishat cinema", Lodging,0348 1000850,East,Gulshan
1451,"Rent A Car Pakistan""",34/1 G Market, Car rental agency,      0333 3126512,East,Gulshan
1452,Rent a car Pakistan.,"shop no 12, Glamour view apartment", Car rental agency,      0313 7433331,East,Johar
1453,Rent A Car pd,"Plot # 01 block 7 safoora chowrangi, Main University Rd, opposite Sindh Green restaurant, behind Saima Presidency", Car rental agency,      0333 2221927,East,Johar
1454,Faraz Autos,Hussainabad Food St,   Mechanic,,Central,Nazimabad
1455,Rent a car services Karachi.Karachi,"2c5/3 nazimabad number 2 inquiry office, near shaid sports", Car rental agency,      0316 2790241,Central,Nazimabad
1456,Rent a Car Stand,4rth Anda Mor Rd, Car rental agency,,Central,Nazimabad
1457,Rent A Car.Com,"Rent A Car.Com19, D Rd", Car rental agency,  0316 7060313,East,Gulshan
1458,Rent A Ride,, Car leasing service,      0313 2576061,Central,Nazimabad
1459,Rent My Car,"Suite # 1 A, First Floor, Main, Lane 3 Khayaban-e-Shamsheer", Corporate office, 0300 0562762,East,Gulshan
1460,Rent Pay Car (Head Office),R 396, Car rental agency,  0310 2225526,East,Gulshan
1461,Fareed autos,R 382,   Auto repair shop,,Central,Nazimabad
1462,Rent'A'Car.pk,A-64, Car rental agency,(021) 34989960,East,Johar
1463,Farhan auto election,"Turabi Ave, Landi Kotal Chowrangi Roundabout",   Auto repair shop,0322 8600963,Central,Gulberg
1464,Rently Car Rental,"Hilltop Arcade, Suite 17, 3rd Floor، Gizri Blvd Rd", Car rental agency,      0300 8200279,East,Johar
1465,Rentwheels. pk,street 9, Car rental agency,      0315 2645679,East,Gulshan
1466,Resq Communications Pvt Ltd,"House # 35N, 3", Corporate office,      0311 7860911,,
1467,ResQ911 Tracking And Security,V3J9+227, Car security system installer,      0311 7860911,,
1468,Riaz Autos,R 1500, Mechanic,,Central,Gulberg
1469,Farhan Auto Electrician & CNG Works,W2JP+RJM,   Electronics store,,Central,Nazimabad
1470,Risk Management Services (Pvt.) Ltd.,"Ground Floor, Imperial Court، Dr Ziauddin Ahmed Rd, Civil Lines, Karachi, Karachi City, Sindh", Insurance broker, (021) 35684482,South,Civil Lines
1471,Farhan autos,Plot 888,   Auto repair shop,0335 2010402,Central,Gulberg
1472,Road Runner Auto service (BMW Mercedes Benz Audi Range Rover Repair service center) (Private),"3+ years in business  21/1 Rest Camp Area, Old Korangi Rd", Auto repair shop, 0323 3231657,East,Faisal Cantonment
1473,farhan car wash,23MQ+HW5,Gas station,,East,Gulzar E Hijri
1474,Rodado Detailing Villa,"3+ years in business  Plot 154 O, Pakistan Employees Co-Operative Housing Society, 154-O Khushal Rd  In PECHS Station 11 Aman Ambulance Service", Car detailing service, 0320 3763236,East,Johar
1475,Royal Auto Spa Karachi,"Shop No.05, Hasan Arcade, Plot No. LS/C, 1-5", Car detailing service, 0300 5469945,East,Johar
1476,Royal Car Wash,opposite to Beaconhouse School System, Chauffeur service, 0340 8583085,East,Johar
1477,Royal City Rent A Car,Street 4, Car rental agency,      0345 2103333,East,Johar
1478,Royal Taj Rental Car,, Car rental agency,      0300 1385007,East,Johar
1479,Farhan Motors,Liaqatabad Underpass,   Car rental agency,      0312 2612349,Central,Gulberg
1480,RWS The Rental Service Company,Ramsha Avenue, Car rental agency,,East,Johar
1481,S & K Oil Traders - Atlas Honda Oil Change Shop,Shahrah-e-Jahangir Rd, Oil change service, 0332 7388281,Central,Nazimabad
1482,S A RENT A CAR & TRANSPORTATION SERVICE,"Shop #G25، Jauhar Chowrangi Road, near rabia city", Car rental agency, 0311 2519466,East,Johar
1483,S A RENT A CAR HOUSE,Line Area, Housing complex,      0311 2519466,East,Gulshan
1484,S M Car Wash & Service Station,"Tharoo mengal goth qareem shah mazar, near gulshan e maymar ",Self service car wash, 0332 2202181,East,Gulshan
1485,S M Lubricants 3,"Shop# 2, R 33", Oil change service, 0341 0025828,East,Gulshan
1486,S W T Rent a Car,, Car rental agency,      0335 2836617,East,Johar
1487,S. Abbasi Traders and Computerized Wheel Alignment,3+ years in business  Karachi, Wheel alignment service, 0346 4768744,East,Faisal Cantonment
1488,S.A.A AUTOS SHOP,"Mein road, near khan steel", Motorcycle repair shop, 0311 2637560,East,Johar
